sentence,source,recognitionTarget,jmdictId
この絵は目の錯覚を利用した作品です。,N1 2021-12 言語知識 問題1,錯覚,
尊い命を大切に守ろう。,N1 2021-12 言語知識 問題1,尊い,
このまま使い続けていたら、天然資源はいずれ枯渇してしまうだろう。,N1 2021-12 言語知識 問題1,枯渇,
その手紙は、私の心を慰めてくれた。,N1 2021-12 言語知識 問題1,慰めて,
この文書には、当時の生活の様子が克明に記憶されている。,N1 2021-12 言語知識 問題1,克明,
試合会場には緊迫した雰囲気が漂っていた。,N1 2021-12 言語知識 問題1,緊迫,
会社を存続させるためには、経営の改善が不可欠である。,N1 2021-12 言語知識 問題2,存続,
空港建設に関する調査では、賛成派が多数を占めた。,N1 2021-12 言語知識 問題2,派,
この地方には、昔からお祝いのとき餅を食べる風習がある。,N1 2021-12 言語知識 問題2,風習,
友人が困っているのに何もできず、とてももどかしかった。,N1 2021-12 言語知識 問題2,もどかしかった,
彼はこの機械の開発者なので、仕組みを熟知しているはずだ。,N1 2021-12 言語知識 問題2,熟知,
妹はピアノを習い始めるとめきめき上達して、コンクールで優勝できるまでになった。,N1 2021-12 言語知識 問題2,めきめき,
交渉がまとまりそうだったのに、余計なことを言ったせいで話がこじれてしまった。,N1 2021-12 言語知識 問題2,こじれて,
新しい事業を始めるときには、リスクを伴う。,N1 2021-12 言語知識 問題3,リスク,1141440
新しい事業を始めるときには、危険を伴う。,N1 2021-12 言語知識 問題3,危険,
その教師は生徒が出したアイディアを絶賛した。,N1 2021-12 言語知識 問題3,絶賛した,
その教師は生徒が出したアイディアを非常に素晴らしいとほめた。,N1 2021-12 言語知識 問題3,非常に素晴らしいとほめた,
彼は今ごろ、くつろいでいるだろう。,N1 2021-12 言語知識 問題3,くつろいで,
彼は今ごろ、ゆっくりしているだろう。,N1 2021-12 言語知識 問題3,ゆっくりして,
その件はうやむやにされた。,N1 2021-12 言語知識 問題3,うやむや,
その件はあいまいにされた。,N1 2021-12 言語知識 問題3,あいまい,1567920
池田さんが今度、出馬するらしい。,N1 2021-12 言語知識 問題3,出馬,
池田さんが今度、選挙に出るするらしい。,N1 2021-12 言語知識 問題3,選挙に出る,
駅前に巨大スーパーができたらお手上げだ。,N1 2021-12 言語知識 問題3,お手上げ,
駅前に巨大スーパーができたらどうしようもないだ。,N1 2021-12 言語知識 問題3,どうしようもない,
仕事をそれぞれ均等に割り振って、作業量に差が出ないようにした。,N1 2021-12 言語知識 問題4,均等,
マラソン大会では、途中で、けがしてしまったのでリタイアした。,N1 2021-12 言語知識 問題4,リタイア,
警察は、昨夜の捜査で犯人のものと見られる凶器を押収した。,N1 2021-12 言語知識 問題4,押収,
この仕事は学歴は問わないが、経験があることが望ましい。,N1 2021-12 言語知識 問題4,望ましい,
ジャズの本場で音楽の勉強をしたいと思っていた。,N1 2021-12 言語知識 問題4,本場,
あの人はクールに見えるが、実は情熱を内に必めている。,N1 2021-12 言語知識 問題4,秘める,
