recognitionTarget,source
繁盛,N1 2010-07 言語知識 問題1
契約,N1 2010-07 言語知識 問題1
潤って,N1 2010-07 言語知識 問題1
手薄,N1 2010-07 言語知識 問題1
壊されて,N1 2010-07 言語知識 問題1
華々しく,N1 2010-07 言語知識 問題1
静止,N1 2010-07 言語知識 問題2
成就,N1 2010-07 言語知識 問題2
完結,N1 2010-07 言語知識 問題2
終息,N1 2010-07 言語知識 問題2
キープ,N1 2010-07 言語知識 問題2
フォロー,N1 2010-07 言語知識 問題2
マッチ,N1 2010-07 言語知識 問題2
アップ,N1 2010-07 言語知識 問題2
切望,N1 2010-07 言語知識 問題2
欲望,N1 2010-07 言語知識 問題2
念願,N1 2010-07 言語知識 問題2
志願,N1 2010-07 言語知識 問題2
本音,N1 2010-07 言語知識 問題2
本気,N1 2010-07 言語知識 問題2
弱音,N1 2010-07 言語知識 問題2
弱気,N1 2010-07 言語知識 問題2
しんなり,N1 2010-07 言語知識 問題2
やんわり,N1 2010-07 言語知識 問題2
うんざり,N1 2010-07 言語知識 問題2
ひんやり,N1 2010-07 言語知識 問題2
自,N1 2010-07 言語知識 問題2
主,N1 2010-07 言語知識 問題2
実,N1 2010-07 言語知識 問題2
当,N1 2010-07 言語知識 問題2
零細な,N1 2010-07 言語知識 問題2
綿密な,N1 2010-07 言語知識 問題2
繊細な,N1 2010-07 言語知識 問題2
濃密な,N1 2010-07 言語知識 問題2
ルーズ,N1 2010-07 言語知識 問題3
ずうずうしい,N1 2010-07 言語知識 問題3
だらしない,N1 2010-07 言語知識 問題3
うるさい,N1 2010-07 言語知識 問題3
よわい,N1 2010-07 言語知識 問題3
なじんで,N1 2010-07 言語知識 問題3
恵まれて,N1 2010-07 言語知識 問題3
逆らって,N1 2010-07 言語知識 問題3
飽きて,N1 2010-07 言語知識 問題3
慣れて,N1 2010-07 言語知識 問題3
張り合っている,N1 2010-07 言語知識 問題3
競争して,N1 2010-07 言語知識 問題3
応援して,N1 2010-07 言語知識 問題3
無視して,N1 2010-07 言語知識 問題3
尊重して,N1 2010-07 言語知識 問題3
朗報,N1 2010-07 言語知識 問題3
意外な知らせ,N1 2010-07 言語知識 問題3
うれしい知らせ,N1 2010-07 言語知識 問題3
大切な知らせ,N1 2010-07 言語知識 問題3
めずらしい知らせ,N1 2010-07 言語知識 問題3
わずらわしい,N1 2010-07 言語知識 問題3
地味な,N1 2010-07 言語知識 問題3
苦手な,N1 2010-07 言語知識 問題3
面倒な,N1 2010-07 言語知識 問題3
退屈な,N1 2010-07 言語知識 問題3
いやみ,N1 2010-07 言語知識 問題3
不平,N1 2010-07 言語知識 問題3
冗談,N1 2010-07 言語知識 問題3
愚痴,N1 2010-07 言語知識 問題3
皮肉,N1 2010-07 言語知識 問題3
密集,N1 2010-07 言語知識 問題4
潔い,N1 2010-07 言語知識 問題4
発足,N1 2010-07 言語知識 問題4
にぎわう,N1 2010-07 言語知識 問題4
ひとまず,N1 2010-07 言語知識 問題4
満喫,N1 2010-07 言語知識 問題4
本筋,N1 2010-12 言語知識 問題1
伴奏,N1 2010-12 言語知識 問題1
推理,N1 2010-12 言語知識 問題1
極めて,N1 2010-12 言語知識 問題1
練って,N1 2010-12 言語知識 問題1
締めた,N1 2010-12 言語知識 問題1
投じた,N1 2010-12 言語知識 問題2
配送した,N1 2010-12 言語知識 問題2
報じた,N1 2010-12 言語知識 問題2
配布した,N1 2010-12 言語知識 問題2
及ぼす,N1 2010-12 言語知識 問題2
授ける,N1 2010-12 言語知識 問題2
費やす,N1 2010-12 言語知識 問題2
掲げる,N1 2010-12 言語知識 問題2
ベテラン,N1 2010-12 言語知識 問題2
ポジション,N1 2010-12 言語知識 問題2
ステータス,N1 2010-12 言語知識 問題2
キャリア,N1 2010-12 言語知識 問題2
上,N1 2010-12 言語知識 問題2
面,N1 2010-12 言語知識 問題2
側,N1 2010-12 言語知識 問題2
内,N1 2010-12 言語知識 問題2
しとやかに,N1 2010-12 言語知識 問題2
しなやかに,N1 2010-12 言語知識 問題2
円滑に,N1 2010-12 言語知識 問題2
急性に,N1 2010-12 言語知識 問題2
収束,N1 2010-12 言語知識 問題2
結束,N1 2010-12 言語知識 問題2
親密,N1 2010-12 言語知識 問題2
緊密,N1 2010-12 言語知識 問題2
背景,N1 2010-12 言語知識 問題2
根源,N1 2010-12 言語知識 問題2
後援,N1 2010-12 言語知識 問題2
発端,N1 2010-12 言語知識 問題2
まばらだった,N1 2010-12 言語知識 問題3
多かった,N1 2010-12 言語知識 問題3
少なかった,N1 2010-12 言語知識 問題3
まじめだった,N1 2010-12 言語知識 問題3
ふまじめだった,N1 2010-12 言語知識 問題3
どんよりした,N1 2010-12 言語知識 問題3
曇っていて暗かった,N1 2010-12 言語知識 問題3
晴れていて明るかった,N1 2010-12 言語知識 問題3
風が吹いて涼しかった,N1 2010-12 言語知識 問題3
雨が降って蒸し暑かった,N1 2010-12 言語知識 問題3
丹念に,N1 2010-12 言語知識 問題3
ぼうっと,N1 2010-12 言語知識 問題3
