recognitionTarget,appearances
大幅,5
はっきり,4
めきめき,4
わずらわしい,4
意外,4
円滑,4
徐々に,4
絶大,4
面倒,4
がっかり,3
ぜひ,3
とっくに,3
どんより,3
ノルマ,3
はらはら,3
ひそか,3
ひとまず,3
還元,3
危険,3
駆除,3
誇張,3
互角,3
支援,3
失敗,3
重要,3
触発,3
心配,3
真剣,3
盛大,3
退屈,3
張り切る,3
転換,3
念願,3
配布,3
飽きる,3
あきらめずに,2
アップ,2
アドバイス,2
いまに,2
イメージ,2
うろたえる,2
エラー,2
おそらく,2
おどおど,2
お手上げ,2
かすれる,2
かたくな,2
キープ,2
キャリア,2
クレーム,2
こっそり,2
コンスタント,2
ざっと,2
さわやか,2
しっかり,2
じっと,2
しばらく,2
じめじめ,2
シンプル,2
ずうずうしい,2
すがすがしい,2
すぐに,2
すっきり,2
ストレート,2
すみやか,2
センス,2
タブー,2
ダメージ,2
だらしない,2
ちらっと,2
てきぱき,2
できるだけ,2
どうしようもない,2
とても,2
どろどろ,2
なじむ,2
なぜか,2
ニュアンス,2
のんびり,2
はかどる,2
ひたむき,2
ヒント,2
へとへと,2
ぼうっと,2
ほっと,2
ぼんやり,2
まぎらわしい,2
もはや,2
ゆっくり,2
リスク,2
ルーズ,2
依存,2
委託,2
一環,2
引き渡す,2
加工,2
果敢,2
戒める,2
割り当てる,2
完結,2
干渉,2
慣れる,2
簡素,2
肝心,2
期待,2
軌跡,2
軌道,2
逆らう,2
急激,2
供述,2
競争,2
興奮,2
驚き,2
極力,2
均等,2
緊密,2
苦手,2
苦労,2
掲げる,2
経緯,2
軽率,2
潔い,2
堅実,2
嫌がる,2
見込み,2
見落とす,2
厳しい,2
厳正,2
工面,2
巧妙,2
慌てる,2
貢献,2
合致,2
克明,2
困る,2
採取,2
錯覚,2
志願,2
思い切って,2
施す,2
事前,2
自慢,2
質素,2
実施,2
遮断,2
釈明,2
弱気,2
手分け,2
収容,2
順応,2
順調,2
少ない,2
詳細,2
譲る,2
振興,2
深刻,2
申し込む,2
進呈,2
推移,2
設ける,2
繊細,2
素早い,2
阻む,2
壮大,2
損なう,2
多い,2
怠る,2
大げさ,2
大して,2
探知,2
地味な,2
中止,2
兆し,2
張り合う,2
調達,2
提案,2
適応,2
展開,2
当面,2
踏襲,2
特殊,2
熱中,2
派生,2
背後,2
漠然,2
発散,2
発足,2
抜粋,2
反省,2
反論,2
繁盛,2
非常,2
不当,2
部門,2
復旧,2
覆す,2
分担,2
分別,2
平凡,2
並列,2
変,2
返却,2
返上,2
慕う,2
膨大,2
没頭,2
無謀,2
目先,2
油断,2
用意,2
欲求,2
絡む,2
利益,2
流出,2
臨む,2
歴然,2
あいにく,1
あいまい,1
あいまいな,1
アウト,1
あきらめた,1
あきらめて,1
アクシデント,1
あざやか,1
あじけなかった,1
あっけない,1
あっさり,1
あどけない,1
あまり,1
あまりに,1
あやぶむ,1
あゆみ,1
あらかじめ,1
ありえない,1
ありきたり,1
ありきたりの,1
ありふれた,1
いいかげん,1
いかにも,1
いくつか,1
いさぎよい,1
いたずらする,1
いただく,1
いたって,1
いたわる,1
いちずに,1
いつしか,1
いっそう,1
いつでも,1
いやみ,1
いらいら,1
インスピレーション,1
インタビュー,1
ウエイト,1
うすうす,1
うずうず,1
うそ,1
うなだれる,1
うやむや,1
うるさい,1
うれしい知らせ,1
うろうろ,1
うろちょろ,1
うんざり,1
エキスパート,1
エレガント,1
おおげさ,1
おおむね,1
おおらか,1
おさまって,1
おそれる,1
おだやか,1
おなかがすいて,1
おのずと,1
おびただしい,1
おぼれる,1
および腰,1
おろそか,1
お借りしました,1
お貸ししました,1
カーソル,1
かいて,1
かかげる,1
がさがさ,1
かすか,1
かなう,1
かなり,1
かねがね,1
かばう,1
かみ合う,1
がやがや,1
からかう,1
からから,1
からっと,1
がらみ,1
がらり,1
かろうじて,1
かろやか,1
ぎくしゃく,1
ぎこちない,1
ぎっしり,1
きっぱり,1
きめる,1
キャッチ,1
キャラクター,1
クールな,1
くじける,1
ぐずぐず,1
くずれる,1
ぐちゃぐちゃ,1
ぐっすり,1
ぐったり,1
くつろぐ,1
くまなく,1
くよくよ,1
ぐらぐら,1
クリア,1
ぐるみ,1
けち,1
けろり,1
ここちよい,1
こじれる,1
コスト,1
ごちゃごちゃ,1
ごつごつ,1
ことわる,1
こまやか,1
コミュニケーション,1
これから,1
これまで,1
コントラスト,1
コントロール,1
コンパクト,1
サイクル,1
さかのぼる,1
さきごろ,1
ささい,1
ささやか,1
さすがに,1
サポート,1
ざらざら,1
さらさらと,1
しいて,1
シェプ,1
しかたない,1
しかたなく,1
しがみつく,1
しきたり,1
じきに,1
しきりに,1
しくじる,1
じっくり,1
しつこく誘われている,1
しっとり,1
しとやか,1
しなやか,1
シビア,1
しびれる,1
シフト,1
しぶる,1
じゃまする,1
しょんほり,1
しわざ,1
じわじわ,1
しんなり,1
すくすく,1
すくって,1
すぐには,1
ずくめ,1
スクリーン,1
スケール,1
すこし,1
すさまじい,1
スタイル,1
ずっしり,1
ずっと,1
ステータス,1
ステップ,1
すでに,1
ストック,1
ストップ,1
すなおには,1
ずばり,1
すべすべ,1
すべて,1
スポット,1
ずらり,1
ずれ込む,1
せいぜい,1
ぜいたく,1
せめて,1
センサー,1
そぶり,1
ぞんざい,1
だいたい,1
だいぶ,1
タイミング,1
ダウン,1
たしか,1
たしかに,1
たたえた,1
ただで,1
たどる,1
だます,1
たまたま,1
だらだら,1
だんだん,1
チーフ,1
チャージ,1
チャンス,1
ちらり,1
つかの間,1
つくづく,1
つたう,1
つながり,1
つぶさに,1
つぶやく,1
つまむ,1
データベース,1
できるだけ早く,1
できる限り,1
できれば,1
でたらめ,1
てっきり,1
デマ,1
テンポ,1
どきどき,1
とっさに,1
どっさり,1
トップ,1
とまどう,1
トレーニング,1
なかなか,1
なぞり,1
なだめる,1
なつく,1
なれなれしい,1
